city_code,Dose_number,Count,agas_code,patient_agas_area_code,address_X,address_Y,neighborhood_name,city_latitude,city_longitude,CityPopulation,city_desc,Religion_Desc,arab_rate,ortodox_rate,relevant_desk,perc,count_nonvac_young,count_age_old,diff,skewfirst,skewsecond,kurfirst,kursecond,meanfirst,stdfirst,meanthird,stdthird,meanlast,stdlast,meanrisk1,stdrisk1,meanrisk3,stdrisk2,meanimmunity,stdimmunity,hosp_total,recovered_total,death_total,positive_total,recavored_norm,hosp_norm,positive_norm,death_norm,anomaly
1348.0,2.0,104,13480001.0,13480001.0,34.709138,31.023159999999997,ביר הדאג',31.024620000000002,34.70309,5995.0,ביר הדאג',לא יהודי,גבוה מאוד,ללא,דסק ערבי,0.017347789824854045,0.022852376980817348,0.0030025020850708924,6.861430953373015e-05,1.4404154493078827,0.1623265084573804,1.052309377084066,-1.1115504535002385,84.13684210526316,87.3572135685526,36.53061224489796,23.834587997991772,128.3370786516854,98.16905098964983,489.4715025906734,155.62819530294396,549.8244897959187,169.35940153341087,0.5481809124631599,0.40472430714006946,0.0,15.0,0.0,13.0,0.25020850708924103,0.0,0.21684737281067556,0.0,not_anomaly
1294.0,2.0,11,12940001.0,12940001.0,35.446042375,33.005725953,אור הגנוז,33.00528,35.4465,610.0,אור הגנוז,יהודי,ללא,גבוה מאוד,דסק חרדי,0.018032786885245903,0.06557377049180328,0.00819672131147541,0.0005374899220639613,1.3884089408782527,0.7239544586734539,0.8050486993372163,-0.4669384975816149,93.94,85.94716222120165,23.043478260869566,19.823031281061947,83.05405405405405,80.58602923651287,549.7420000000001,135.01126497217834,647.1086956521739,129.1054287748212,0.770733651934756,0.2211620268494589,,,,,,,,,not_anomaly
875.0,2.0,2,8750001.0,8750001.0,34.94085302,32.25692824,כפר עבודה,32.25655,34.940940000000005,108.0,כפר עבודה,יהודי,ללא,ללא,דסק כללי,0.018518518518518517,0.009259259259259259,0.0,0.0,1.3620046341013976,,2.5539962459313053,,82.25,57.5405654009992,56.0,22.627416997969522,56.8,90.24799166740499,650.3,116.57113707946746,379.15,206.26304807211588,0.46182,0.4230726261530046,,,,,,,,,not_anomaly
976.0,2.0,32,,,,,,30.986,34.923,1363.0,ג'נאביב (שבט),שבט בדווים,non,non,non,0.02347762289068232,0.019809244314013204,0.00293470286133529,5.8134245969224375e-05,2.069485779313384,0.36409894164222895,3.91173259922365,-0.5788891321963145,65.22950819672131,67.21046382883718,37.95238095238095,21.82768011144609,114.27586206896552,100.2578768141381,490.5741935483871,146.9510411784732,556.4904761904761,194.53642822042846,0.5023079456781299,0.4001180934467386,,,,,,,,,not_anomaly
960.0,2.0,46,-999.0,-999.0,34.751682,31.399365999999997,לא ידוע,30.986,34.923,1137.0,אסד (שבט),שבט בדווים,non,non,non,0.040457343887423045,0.04309586631486367,0.006156552330694811,0.00026532195620408597,2.0712110829446058,-0.2846243485692272,4.720996304239794,-0.5847167070443868,58.77906976744186,56.14464537095564,37.111111111111114,19.05726861802308,126.93103448275862,94.2475455362901,484.93595505617986,171.86617167223656,541.2703703703703,166.19539430537506,0.4645104496680835,0.3903247523162506,0.0,4.0,0.0,4.0,0.3518029903254178,0.0,0.3518029903254178,0.0,not_anomaly
972.0,2.0,51,99990890.0,99990890.0,35.026978501,31.3241190890001,,30.986,34.923,1198.0,קוואעין (שבט),שבט בדווים,non,non,חסר דסק,0.04257095158597663,0.045909849749582635,0.004173622704507512,0.00019161039127538665,1.654688756015635,-1.0636896460609122,1.9977728260832008,2.925627754463095,71.5764705882353,66.05055359534921,43.8,16.000892832231937,137.90804597701148,103.31298486388933,533.4077777777779,132.87342987141093,510.56470588235294,134.6450887573349,0.4659277382299656,0.35284417361786496,,,,,,,,,not_anomaly
1360.0,2.0,85,13600001.0,13600001.0,34.972957503,31.2555291910001,מולדה,31.255020000000002,34.97305,1982.0,מולדה,לא יהודי,גבוה מאוד,ללא,דסק ערבי,0.042885973763874874,0.03884964682139253,0.006559031281533804,0.00025481604877805396,1.9470185773506081,-0.1407705845722466,3.4446864996504925,-0.8298228954546132,67.1,74.50453127062887,41.88235294117647,24.133171821679138,141.6769230769231,97.86180854579838,496.29214285714284,160.05112990049616,527.155882352941,186.50541984354248,0.49610417147631775,0.38654228127476803,0.0,4.0,0.0,6.0,0.20181634712411706,0.0,0.30272452068617556,0.0,not_anomaly
939.0,2.0,780,9390001.0,9390001.0,34.81546738,31.197623028000102,מסעודין אל עזאזמה,30.986,34.923,17828.0,מסעודין אל-עזאזמה,שבט בדווים,גבוה מאוד,ללא,חסר דסק,0.04375140228853489,0.048463091765761725,0.0054408795153690825,0.000263681843239785,1.557275239676379,-0.25009205609694596,1.7012560445327853,-0.37469661255292097,67.37769230769231,68.36359317844996,39.97241379310345,18.435877774306043,128.60886777513855,96.64843399930167,485.03850226929046,153.81317513953766,532.6428082191776,150.69665092835177,0.5153363298672662,0.384699437759871,3.0,37.0,0.0,35.0,0.2075387031635629,0.016827462418667265,0.19632039488445144,0.0,not_anomaly
882.0,2.0,7,8820001.0,8820001.0,35.108870687,32.7124550610001,אורנים,32.71243,35.10845,158.0,אורנים,יהודי,ללא,ללא,דסק כללי,0.04430379746835443,0.04430379746835443,0.006329113924050633,0.0002804037814452812,1.624667600294898,1.030466743802563,3.2009584212098217,0.3547988570617546,52.0,39.023802260378766,24.428571428571427,21.907815522145995,113.75,90.02407085515148,433.0875,218.51546665320205,581.15,179.32502016490295,0.5515588235294118,0.38256889911953035,,,,,,,,,not_anomaly
1338.0,2.0,9,13380001.0,13380001.0,35.468309000000005,33.005953999999996,קדיתא,33.004709999999996,35.46501,197.0,כדיתה,יהודי,ללא,חלש,דסק כללי,0.04568527918781726,0.04060913705583756,0.02030456852791878,0.0008245510062098998,1.808152405874344,1.2906342139396052,2.1580360834990238,1.8648320566291128,82.95454545454545,103.08594531366593,29.727272727272727,31.30524208208877,118.14285714285714,98.58056893439282,454.9826086956523,138.30070877414485,610.6636363636363,167.3680152999806,0.6361995195067045,0.37105231694952423,,,,,,,,,not_anomaly
